$ freqtrade list-pairs
2022-05-12 15:05:54,206 - freqtrade.configuration.load_config - INFO - Using config: config.json ...
2022-05-12 15:05:54,242 - freqtrade.loggers - INFO - Verbosity set to 0
2022-05-12 15:05:54,245 - freqtrade.configuration.configuration - INFO - Using user-data directory: /opt/freqtrade/user_data ...
2022-05-12 15:05:54,247 - freqtrade.configuration.configuration - INFO - Using data directory: /opt/freqtrade/user_data/data/binance ...
2022-05-12 15:05:54,248 - freqtrade.configuration.check_exchange - INFO - Checking exchange...
2022-05-12 15:05:54,280 - freqtrade.configuration.check_exchange - INFO - Exchange "binance" is officially supported by the Freqtrade development team.
2022-05-12 15:05:54,281 - freqtrade.configuration.configuration - INFO - Using pairlist from configuration.
2022-05-12 15:05:54,281 - freqtrade.configuration.config_validation - INFO - Validating configuration ...
2022-05-12 15:05:54,289 - freqtrade.exchange.exchange - INFO - Instance is running with dry_run enabled
2022-05-12 15:05:54,290 - freqtrade.exchange.exchange - INFO - Using CCXT 1.81.43
2022-05-12 15:05:54,360 - freqtrade.exchange.exchange - INFO - Using Exchange "Binance"
2022-05-12 15:05:54,362 - freqtrade.resolvers.exchange_resolver - INFO - Using resolved exchange 'Binance'...
2022-05-12 15:05:54,363 - freqtrade.exchange.exchange - INFO - Markets were not loaded. Loading them now..

Exchange Binance has 1465 active pairs:
+--------------+---------------+----------+---------+----------+--------+----------+----------+------------+
|           Id |        Symbol |     Base |   Quote |   Active |   Spot |   Margin |   Future |   Leverage |
|--------------+---------------+----------+---------+----------+--------+----------+----------+------------|
|     1INCHBTC |     1INCH/BTC |    1INCH |     BTC |     True |   Spot |   Margin |          |          1 |
|    1INCHBUSD |    1INCH/BUSD |    1INCH |    BUSD |     True |   Spot |          |          |          1 |
|    1INCHUSDT |    1INCH/USDT |    1INCH |    USDT |     True |   Spot |   Margin |          |          1 |
|      AAVEBNB |      AAVE/BNB |     AAVE |     BNB |     True |   Spot |          |          |          1 |
|      AAVEBTC |      AAVE/BTC |     AAVE |     BTC |     True |   Spot |   Margin |          |          1 |
|     AAVEBUSD |     AAVE/BUSD |     AAVE |    BUSD |     True |   Spot |          |          |          1 |
|      AAVEETH |      AAVE/ETH |     AAVE |     ETH |     True |   Spot |          |          |          1 |
|     AAVEUSDT |     AAVE/USDT |     AAVE |    USDT |     True |   Spot |   Margin |          |          1 |
|       ACABTC |       ACA/BTC |      ACA |     BTC |     True |   Spot |          |          |          1 |
|      ACABUSD |      ACA/BUSD |      ACA |    BUSD |     True |   Spot |          |          |          1 |
|      ACAUSDT |      ACA/USDT |      ACA |    USDT |     True |   Spot |          |          |          1 |
|       ACHBTC |       ACH/BTC |      ACH |     BTC |     True |   Spot |          |          |          1 |
|      ACHBUSD |      ACH/BUSD |      ACH |    BUSD |     True |   Spot |          |          |          1 |
|      ACHUSDT |      ACH/USDT |      ACH |    USDT |     True |   Spot |          |          |          1 |
|       ACMBTC |       ACM/BTC |      ACM |     BTC |     True |   Spot |          |          |          1 |
|      ACMBUSD |      ACM/BUSD |      ACM |    BUSD |     True |   Spot |          |          |          1 |
|      ACMUSDT |      ACM/USDT |      ACM |    USDT |     True |   Spot |          |          |          1 |
|       ADAAUD |       ADA/AUD |      ADA |     AUD |     True |   Spot |          |          |          1 |
|      ADABIDR |      ADA/BIDR |      ADA |    BIDR |     True |   Spot |          |          |          1 |
|       ADABNB |       ADA/BNB |      ADA |     BNB |     True |   Spot |          |          |          1 |
|       ADABRL |       ADA/BRL |      ADA |     BRL |     True |   Spot |          |          |          1 |
|       ADABTC |       ADA/BTC |      ADA |     BTC |     True |   Spot |   Margin |          |          1 |
